exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
spoon,kitchen utensils,16.4285714285714,10,0.6951219512195121,1
knife,kitchen utensils,16.4285714285714,11,0.5384615384615384,6
microwave oven,kitchen utensils,17.1428571428571,5,0.5662650602409639,1
mixer,kitchen utensils,17.4642857142857,4,0.6162790697674418,1
nutcracker,kitchen utensils,12.2962962962962,30,0.6712328767123288,1
place mat,kitchen utensils,12.1071428571428,31,0.647887323943662,1
oven,kitchen utensils,17.75,3,0.5764705882352941,1
pan,kitchen utensils,18.3928571428571,2,0.7702702702702703,1
pot,kitchen utensils,16.9285714285714,8,0.7808219178082192,1
grater,kitchen utensils,16.2142857142857,15,0.7466666666666667,1
scissors,kitchen utensils,10.9285714285714,33,0.6444444444444445,1
apron,kitchen utensils,14.3571428571428,25,0.6144578313253012,2
spatula,kitchen utensils,14.8571428571428,22,0.6933333333333334,1
mug,kitchen utensils,14.1428571428571,27,0.6363636363636364,1
teaspoon,kitchen utensils,14.6428571428571,24,0.6835443037974683,1
colander,kitchen utensils,16.4285714285714,12,1.0,1
fork,kitchen utensils,16.3571428571428,13,0.6823529411764706,1
electric kettle,kitchen utensils,16.3571428571428,14,0.5974025974025974,1
scales,kitchen utensils,12.3928571428571,29,0.726027397260274,1
wok,kitchen utensils,17.1071428571428,6,0.8088235294117647,1
sieve,kitchen utensils,15.1785714285714,21,0.8695652173913043,1
accordion,musical instruments,15.8928571428571,17,0.7391304347826086,3
banjo,musical instruments,14.8571428571428,22,0.7285714285714285,3
bass guitar,musical instruments,17.5,9,0.7323943661971831,3
cello,musical instruments,17.2857142857142,10,0.7534246575342466,3
cymbals,musical instruments,14.3214285714285,26,0.6428571428571429,3
double bass,musical instruments,16.9285714285714,12,0.7297297297297297,3
bagpipe,musical instruments,15.1428571428571,21,0.7575757575757576,3
drum set,musical instruments,17.6785714285714,8,0.6842105263157895,3
flute,musical instruments,18.0,6,0.8142857142857143,3
bassoon,musical instruments,15.4444444444444,20,1.0,3
flute,musical instruments,17.8571428571428,7,0.8142857142857143,3
guitar,musical instruments,19.25,2,0.7333333333333333,3
