label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
114,13,tools,7,28,53.85,25.0,34.15,2,2,0.000688,0,0,0,7,2,3,1
115,1,clothing,1,29,100.0,3.45,6.67,1,1,0.004132,1,0,0,0,0,0,0
116,1,clothing,1,29,100.0,3.45,6.67,4,4,0.016873,1,0,0,0,0,0,0
117,1,clothing,1,29,100.0,3.45,6.67,1,1,0.0,1,0,0,0,0,0,0
118,13,musical instruments,10,26,76.92,38.46,51.28,1,1,0.011019,1,1,10,0,0,0,1
119,12,musical instruments,9,26,75.0,34.62,47.37,1,1,0.0,1,1,9,0,0,0,1
120,1,musical instruments,1,26,100.0,3.85,7.41,1,1,0.026171,0,0,1,0,0,0,0
121,10,kitchen utensils,10,33,100.0,30.3,46.51,1,1,0.027548,0,10,0,0,0,0,0
122,2,kitchen utensils,1,33,50.0,3.03,5.71,1,1,0.008264,0,1,0,1,0,0,0
123,1,kitchen utensils,1,33,100.0,3.03,5.88,1,1,0.11157,0,1,0,0,0,0,0
124,5,clothing,5,29,100.0,17.24,29.41,1,1,0.004132,5,0,0,0,0,0,0
125,8,clothing,8,29,100.0,27.59,43.24,1,1,0.0,8,0,0,0,0,0,0
126,3,clothing,3,29,100.0,10.34,18.75,1,1,0.0,3,0,0,0,0,0,0
127,8,musical instruments,5,26,62.5,19.23,29.41,1,1,0.011019,1,1,5,0,0,0,1
128,1,clothing,1,29,100.0,3.45,6.67,4,4,0.041322,1,0,0,0,0,0,0
129,21,clothing,21,29,100.0,72.41,84.0,4,4,0.041322,21,0,0,0,0,0,0
130,6,tools,4,28,66.67,14.29,23.53,1,1,0.187328,0,0,0,4,0,2,0
131,7,tools,4,28,57.14,14.29,22.86,1,1,0.187328,0,2,0,4,0,1,0
132,17,tools,9,28,52.94,32.14,40.0,1,1,0.060606,0,0,0,9,2,5,1
133,1,weapons,1,18,100.0,5.56,10.53,1,1,0.060606,0,0,0,0,0,1,0
134,3,vehicles,3,28,100.0,10.71,19.35,2,2,0.339531,0,0,0,0,3,0,0
135,9,vehicles,7,28,77.78,25.0,37.84,2,2,0.339531,0,0,0,0,7,0,2
136,3,tools,2,28,66.67,7.14,12.9,1,1,0.0,0,0,0,2,0,1,0
137,13,tools,7,28,53.85,25.0,34.15,1,1,0.0,0,0,0,7,2,3,1
138,1,clothing,1,29,100.0,3.45,6.67,1,1,0.00551,1,0,0,0,0,0,0
139,12,clothing,12,29,100.0,41.38,58.54,1,1,0.00551,12,0,0,0,0,0,0
140,1,vehicles,1,28,100.0,3.57,6.9,7,7,0.027548,0,0,0,0,1,0,0
141,12,tools,7,28,58.33,25.0,35.0,2,2,0.051653,0,0,0,7,2,3,0
142,4,tools,2,28,50.0,7.14,12.5,2,2,0.051653,0,0,0,2,0,1,1
143,2,weapons,1,18,50.0,5.56,10.0,1,1,0.173554,0,0,0,1,0,1,0
