attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
is poisonous,reptiles,"2, 3, 4, 5",False,0.069815,4.583333,0.076923
is difficult to remove from one's body,insects,2,True,0.000000,4.166667,0.000000
is difficult to remove from one's body,mammals,2,True,0.000000,,0.000000
can jump far,insects,,False,0.090349,4.416667,0.000000
can jump far,mammals,,False,0.090349,3.250000,0.000000
can jump far,reptiles,,False,0.090349,,0.000000
lives by the sea,birds,,False,0.041068,3.666667,0.000000
lives by the sea,fish,,False,0.041068,,0.000000
lives by the sea,insects,,False,0.041068,,0.000000
lives by the sea,mammals,,False,0.041068,,0.000000
lives by the sea,reptiles,,False,0.041068,,0.000000
is long,birds,,False,0.158111,,0.000000
is long,fish,,False,0.158111,4.416667,0.000000
is long,insects,,False,0.158111,3.166667,0.000000
is long,mammals,,False,0.158111,,0.000000
is long,reptiles,,False,0.158111,4.500000,0.000000
adores sweetness,insects,1,True,0.039014,5.083333,0.060606
adores sweetness,mammals,1,True,0.039014,,0.060606
miaows,mammals,1,True,0.004107,2.750000,0.000000
lives in a damp climate,birds,,False,0.039014,,0.000000
lives in a damp climate,fish,,False,0.039014,,0.000000
lives in a damp climate,insects,,False,0.039014,5.083333,0.000000
lives in a damp climate,mammals,,False,0.039014,,0.000000
lives in a damp climate,reptiles,,False,0.039014,4.666667,0.000000
has a shield,insects,,False,0.137577,5.083333,0.000000
has a shield,reptiles,,False,0.137577,4.833333,0.000000
prehistoric animal,reptiles,5,True,0.014374,5.083333,0.000000
"in dutch expression: once bitten, twice shy",mammals,"1, 3, 5",False,0.000000,2.416667,0.014286
is the main character in 'Flipper',fish,"1, 2, 3, 4, 5",False,0.000000,4.083333,0.007752
has antlers,mammals,4,True,0.024641,3.000000,0.000000
large nostrils,mammals,,False,0.010267,2.500000,0.000000
large nostrils,reptiles,,False,0.010267,,0.000000
appears in songs,birds,"3, 5",False,0.016427,2.666667,0.166667
appears in songs,insects,"3, 5",False,0.016427,,0.166667
appears in songs,mammals,"3, 5",False,0.016427,2.333333,0.166667
appears in songs,reptiles,"3, 5",False,0.016427,,0.166667
is black and white,birds,5,True,0.174538,3.000000,0.000000
is black and white,fish,5,True,0.174538,3.000000,0.000000
is black and white,mammals,5,True,0.174538,2.583333,0.000000
skeletons in museum,reptiles,,False,0.004107,4.083333,0.000000
makes a sound,birds,,False,0.112936,5.750000,0.000000
makes a sound,fish,,False,0.112936,3.416667,0.000000
makes a sound,insects,,False,0.112936,5.583333,0.000000
makes a sound,mammals,,False,0.112936,,0.000000
makes a sound,reptiles,,False,0.112936,,0.000000
lives in dry areas,birds,5,True,0.000000,,0.157895
lives in dry areas,insects,5,True,0.000000,,0.157895
lives in dry areas,mammals,5,True,0.000000,,0.157895
lives in dry areas,reptiles,5,True,0.000000,4.666667,0.157895
lives in a swamp,insects,"2, 5",False,0.008214,,0.100000
lives in a swamp,mammals,"2, 5",False,0.008214,,0.100000
lives in a swamp,reptiles,"2, 5",False,0.008214,4.416667,0.100000
has a sharp view,birds,5,True,0.020534,4.750000,0.000000
has a sharp view,mammals,5,True,0.020534,,0.000000
is grisly,birds,5,True,0.034908,1.916667,0.264151
is grisly,fish,5,True,0.034908,,0.264151
is grisly,insects,5,True,0.034908,5.083333,0.264151
is grisly,mammals,5,True,0.034908,,0.264151
is grisly,reptiles,5,True,0.034908,4.416667,0.264151
is scary,insects,,False,0.008214,3.500000,0.000000
wakes up,birds,"4, 5",False,0.012320,4.666667,0.000000
wakes up,mammals,"4, 5",False,0.012320,,0.000000
eats seed,birds,"1, 2, 5",False,0.036961,5.916667,0.355263
eats seed,mammals,"1, 2, 5",False,0.036961,,0.355263
can be trained,birds,"2, 3, 5",False,0.016427,,0.067416
can be trained,fish,"2, 3, 5",False,0.016427,3.083333,0.067416
can be trained,mammals,"2, 3, 5",False,0.016427,,0.067416
has small paws,birds,"3, 4, 5",False,0.000000,,0.373832
has small paws,insects,"3, 4, 5",False,0.000000,5.083333,0.373832
has small paws,mammals,"3, 4, 5",False,0.000000,,0.373832
has small paws,reptiles,"3, 4, 5",False,0.000000,,0.373832
male cow = bull,mammals,4,True,0.004107,3.750000,0.000000
is a pet,birds,,False,0.301848,3.500000,0.000000
is a pet,fish,,False,0.301848,4.916667,0.000000
