features,freq,normalized_freq
played by a musician,11.0,0.009642
steered by a captain,11.0,0.009642
used for horse riding,11.0,0.009642
used by dogs,11.0,0.009642
used for oiling,11.0,0.009642
used for cutting meat,11.0,0.009642
drawn by a tractor,11.0,0.009642
is crockery,10.0,0.008264
is played with a plectrum,10.0,0.008264
consists of a vest,10.0,0.008264
is used to keep your hands warm,10.0,0.008264
to polish nails,10.0,0.008264
is used to grind things,10.0,0.008264
is used to box,10.0,0.008264
is worn around your neck,10.0,0.008264
is worn to work,10.0,0.008264
used to dig,10.0,0.008264
produces a bang,10.0,0.008264
made of fibres,10.0,0.008264
pulled by horse or bullock,10.0,0.008264
has a temperature switch,10.0,0.008264
has a freezing compartment,10.0,0.008264
has a soft sound,10.0,0.008264
has a bag,10.0,0.008264
has to do with wood,10.0,0.008264
has two (trousers)legs,10.0,0.008264
is cylindrical,10.0,0.008264
is part of percussion,10.0,0.008264
is made of bamboo,10.0,0.008264
is a material,10.0,0.008264
is sexy,10.0,0.008264
is often indispensable,10.0,0.008264
you can drill holes with it,10.0,0.008264
you have to be strong to use it,10.0,0.008264
you can make dough with it,10.0,0.008264
can cut you,10.0,0.008264
can be knotted,10.0,0.008264
can harm,10.0,0.008264
classical music,10.0,0.008264
bought in an underwear store,10.0,0.008264
stops at fixed stops (fixed places),10.0,0.008264
sails,10.0,0.008264
flies high in the sky,10.0,0.008264
played by Mozart,10.0,0.008264
used daily,10.0,0.008264
used for punishing,10.0,0.008264
used in pop music,10.0,0.008264
often used,10.0,0.008264
especially used with nice weather,10.0,0.008264
is part of a company,9.0,0.006887
is played by a drummer,9.0,0.006887
exists in different thicknesses,9.0,0.006887
exists in different lengths,9.0,0.006887
used to work with,9.0,0.006887
belongs with sportshoes,9.0,0.006887
produces only one sound,9.0,0.006887
gives a nasty sound,9.0,0.006887
made of synthetic material,9.0,0.006887
has first and second class,9.0,0.006887
has 4x4 drive,9.0,0.006887
has floral design,9.0,0.006887
has thick tires,9.0,0.006887
has a sound bell,9.0,0.006887
